设备,IMEI,时间,东西,经度,南北,纬度,速度,航向,高度,温度,电压,运动量,卫星,HDOP,VDOP,精度,有效性
H77F·I09·N056·190614_210307丢失,039266281,2020-06-23 22:04:06,东经,118.2554700,北纬,39.1696300,0,0,24,32.75,4.08,0,5,2.9,0.9,B,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-22 20:01:54,东经,118.2577100,北纬,39.1713600,0,191,65,32,4.185,2791,3,2.4,1,B,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-22 18:03:12,东经,118.2578200,北纬,39.1712800,0,307,15,33.5,4.17,2632,4,1.7,0.9,B,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-22 14:00:38,东经,118.2573500,北纬,39.1717100,1.5,293,129,42.87,4.215,1487,5,1.7,0.9,B,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-22 12:02:06,东经,118.2580600,北纬,39.1711000,0,245,9,35.15,4.188,2981,5,1.3,0.8,A,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-22 02:02:07,东经,118.2650500,北纬,39.1473700,0,46,5,31.37,4.077,3467,4,2.2,0.9,B,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-21 20:02:35,东经,118.3084200,北纬,39.1631300,0,280,0,34.25,4.176,1215,3,2.4,1,B,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-21 18:01:44,东经,118.2578700,北纬,39.1712300,0,173,27,34.75,4.188,1081,3,1.8,1,B,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-21 14:03:10,东经,118.2575200,北纬,39.1723800,2.9,93,198,45.03,4.182,0,3,2.8,1,B,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-21 12:03:11,东经,118.2594500,北纬,39.1732300,0,56,605,44.25,4.179,117,3,6.2,1,C,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-21 08:02:43,东经,118.2630000,北纬,39.1505300,2.6,333,28,34.08,3.975,783,4,1.7,0.9,B,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-21 06:02:01,东经,118.2630200,北纬,39.1506000,0,2,14,32.73,4.011,3636,6,1.4,0.9,A,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-21 04:01:52,东经,118.2630500,北纬,39.1549800,0,0,1,31.08,4.047,1172,4,1.4,0.9,A,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-21 02:02:12,东经,118.2577700,北纬,39.1711300,1.7,207,0,30.41,4.059,374,4,1.7,0.9,B,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-20 20:03:32,东经,118.2578100,北纬,39.1714900,3.2,350,13,37.87,4.164,0,3,2.5,1,B,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-20 18:02:19,东经,118.2578700,北纬,39.1711500,0,0,18,40.2,4.188,755,5,1.6,0.9,A,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-20 14:00:48,东经,118.2579700,北纬,39.1712800,0,153,28,46.47,4.215,697,4,1.5,0.9,A,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-20 12:03:12,东经,118.2578400,北纬,39.1712500,0,186,9,45.37,4.191,0,5,1.4,0.9,A,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-20 08:03:06,东经,118.2026700,北纬,39.0877400,0,43,11,32.53,3.999,99,5,1.5,0.9,A,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-20 02:02:54,东经,118.2701000,北纬,39.1543900,0,316,14,28.75,4.059,321,4,2.4,0.9,B,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-20 00:02:24,东经,118.2579800,北纬,39.1712700,0,26,5,30.5,4.125,387,4,6.6,1,C,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-19 06:02:47,东经,118.2578400,北纬,39.1712800,0,164,11,30.12,4.011,2410,4,2,0.9,B,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-19 04:00:43,东经,118.1872600,北纬,39.1243100,0,262,15,30.67,4.061,1321,4,3.6,0.9,C,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-19 02:01:36,东经,118.1870500,北纬,39.1243600,0,290,0,32.75,4.056,729,5,1.5,0.9,A,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-18 10:02:41,东经,118.2699400,北纬,39.1426200,3.4,353,167,34.87,4.061,3257,3,3.2,1,B,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-18 04:00:47,东经,118.2585400,北纬,39.1714000,2.2,66,28,29,4.113,257,5,1.2,0.8,A,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-18 02:01:42,东经,118.2578700,北纬,39.1712600,0,19,12,29.4,4.113,904,5,1.3,0.9,A,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-18 00:02:22,东经,118.2576800,北纬,39.1713600,0,79,66,30.88,4.131,1213,5,1.7,0.9,B,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-17 20:01:26,东经,118.2576700,北纬,39.1713400,0,253,23,34.37,4.197,1045,7,1,0.9,A,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-17 18:01:08,东经,118.2578000,北纬,39.1712200,0,226,18,37.12,4.2,1484,5,2.8,0.9,B,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-17 16:01:38,东经,118.2579100,北纬,39.1713100,0,324,8,35.5,4.194,44,4,3.1,0.9,B,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-17 14:01:11,东经,118.2577900,北纬,39.1714200,0,48,173,39.12,4.203,2717,4,1.6,1,A,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-17 10:03:12,东经,118.2700300,北纬,39.1422000,1.8,225,22,36.93,4.101,5,7,2.1,0.8,B,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-17 06:02:25,东经,118.2640300,北纬,39.1488300,0,275,0,33.87,4.104,1889,6,1.3,0.9,A,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-17 04:02:15,东经,118.2578500,北纬,39.1712600,0,161,24,30.67,4.122,516,8,1,0.8,A,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-17 02:00:40,东经,118.2580300,北纬,39.1706600,0,272,74,30.28,4.149,184,7,1.1,0.9,A,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-17 00:00:48,东经,118.2576400,北纬,39.1712700,0,132,82,31,4.167,858,5,1.8,0.9,B,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-16 20:00:50,东经,118.2576200,北纬,39.1712700,0,330,49,34.25,4.209,1110,5,1.5,0.9,A,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-16 16:00:41,东经,118.2579700,北纬,39.1714200,0,106,24,42.62,4.215,1072,5,1.6,0.9,A,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-16 14:01:21,东经,118.2579500,北纬,39.1715700,0,328,102,41.12,4.203,3988,6,1.1,0.9,A,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-16 04:00:25,东经,118.2579300,北纬,39.1711300,0,0,5,29.87,4.173,749,7,1.1,0.9,A,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-16 02:00:47,东经,118.2576300,北纬,39.1715800,0,0,37,31.37,4.185,1879,8,1.1,0.9,A,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-16 00:01:13,东经,118.2630000,北纬,39.1727500,0,44,34,32.25,4.188,1322,8,1.2,0.8,A,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-15 22:00:45,东经,118.2575700,北纬,39.1714200,1.7,87,21,32.26,4.206,444,7,1,0.9,A,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-15 20:00:49,东经,118.2577200,北纬,39.1716200,0,327,13,35.62,4.209,2081,7,1.1,0.8,A,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-15 18:02:11,东经,118.2574800,北纬,39.1709300,0,171,15,36.8,4.188,364,7,1.2,0.8,A,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-15 16:01:50,东经,118.2578000,北纬,39.1713000,2.4,342,88,40,4.2,1114,7,1.6,0.9,A,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-15 14:02:43,东经,118.2574800,北纬,39.1715900,0,338,19,47.5,4.194,1527,6,1.7,0.9,B,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-15 10:01:09,东经,118.2681300,北纬,39.1470000,4.8,130,3,38.06,4.065,3459,4,1.3,0.9,A,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-15 08:01:08,东经,118.2714700,北纬,39.1418700,4.3,254,2,36.25,4.032,174,5,2.2,0.9,B,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-15 06:02:37,东经,118.2670000,北纬,39.1514100,0,78,26,31.86,4.05,1478,5,2.1,0.9,B,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-15 04:01:36,东经,118.2579900,北纬,39.1712700,0,99,50,29.45,4.067,300,3,2.8,1,B,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-15 02:01:34,东经,118.2580300,北纬,39.1709900,0,47,53,29.53,4.086,183,5,1.2,1,A,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-15 00:01:20,东经,118.2578300,北纬,39.1710100,1.9,131,19,30,4.107,176,6,1.3,0.9,A,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-14 10:02:42,东经,118.2714200,北纬,39.1437400,0,277,87,37.97,4.001,1383,5,6.9,1,C,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-14 02:01:23,东经,118.2578500,北纬,39.1711600,0,118,7,33.5,4.11,946,5,1.3,0.9,A,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-13 22:01:43,东经,118.2577600,北纬,39.1710900,0,0,41,31.3,4.167,312,4,5.4,0.9,C,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-13 20:01:58,东经,118.2578100,北纬,39.1712700,0,16,12,32.5,4.185,800,5,1.2,0.9,A,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-13 18:03:09,东经,118.2577900,北纬,39.1711200,0,42,0,34.87,4.17,389,4,1.6,0.9,A,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-13 10:03:53,东经,118.2653000,北纬,39.1480100,0,105,6,41.62,3.984,0,6,1.3,0.8,A,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-13 00:03:07,东经,118.2577800,北纬,39.1714900,1.9,161,41,30.2,4.107,696,5,2.3,0.9,B,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-12 20:01:09,东经,118.2578900,北纬,39.1713500,3,27,11,33.37,4.191,718,4,1.6,0.9,A,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-12 18:03:12,东经,118.2582900,北纬,39.1714500,3.2,42,17,38.62,4.161,344,6,1.7,0.9,B,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-12 06:01:43,东经,118.2594500,北纬,39.1287000,0,8,26,32.43,4.056,1865,5,1.1,0.9,A,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-12 04:02:01,东经,118.2577700,北纬,39.1712800,0,293,0,31.36,4.071,1625,5,3.1,0.9,B,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-12 02:00:44,东经,118.2578700,北纬,39.1711700,2.6,184,9,31.32,4.098,1532,4,3.3,0.9,B,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-12 00:02:23,东经,118.2577100,北纬,39.1712100,0,0,66,30.5,4.098,1864,4,1.7,1,B,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-11 06:02:07,东经,118.2624900,北纬,39.1552900,0,274,13,29.97,4.017,3951,4,1.6,0.9,A,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-11 00:02:22,东经,118.2579000,北纬,39.1711900,0,33,10,30.37,4.125,675,4,1.8,0.9,B,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-10 22:01:22,东经,118.2578000,北纬,39.1712600,0,359,7,30.26,4.149,10,6,1.5,0.9,A,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-10 12:02:44,东经,118.2632900,北纬,39.1482800,0,163,52,37.5,4.086,1486,4,2,0.9,B,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-10 06:02:49,东经,118.2617000,北纬,39.1587400,0,196,0,31.12,3.954,3166,4,2.1,0.9,B,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-10 02:02:36,东经,118.2577700,北纬,39.1712900,0,0,44,30.11,4.05,1025,4,3,1,B,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-09 16:02:23,东经,118.2580300,北纬,39.1711000,0,112,49,32.28,4.173,3940,5,1.3,0.9,A,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-09 08:01:17,东经,118.2595000,北纬,39.1608000,0,102,16,32.78,4.017,1900,3,2,1,B,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-09 06:03:08,东经,118.2577400,北纬,39.1712400,0,33,1,29.13,4.028,39,7,1.8,0.9,B,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-09 02:01:52,东经,118.2577900,北纬,39.1712600,0,279,43,30.37,4.101,31,4,1.3,0.9,A,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-09 00:01:24,东经,118.2578600,北纬,39.1713800,0,339,2,31.12,4.122,22,5,2.2,0.9,B,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-08 22:01:22,东经,118.2579700,北纬,39.1713100,0,35,5,32.48,4.152,492,4,2.5,0.9,B,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-08 20:03:15,东经,118.2577500,北纬,39.1713100,0,108,8,34.87,4.17,294,4,3.2,0.9,B,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-08 18:03:01,东经,118.2578400,北纬,39.1713000,0,295,11,38.33,4.152,1316,4,1.5,0.9,A,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-08 14:02:07,东经,118.2579300,北纬,39.1712300,0,172,28,44.5,4.197,3002,4,1.4,0.9,A,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-08 00:01:25,东经,118.2578300,北纬,39.1712800,0,298,8,32.08,4.149,1333,4,1.7,1,B,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-07 22:02:06,东经,118.2578800,北纬,39.1711900,0,150,4,32,4.173,63,4,2.7,0.9,B,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-07 20:01:15,东经,118.2578400,北纬,39.1714100,2.6,55,24,34.12,4.194,1360,4,2.2,0.9,B,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-07 10:01:44,东经,118.2578800,北纬,39.1713000,1.6,22,7,32.75,4.067,1603,4,1.6,0.9,A,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-07 02:02:42,东经,118.2708300,北纬,39.1373100,0,310,7,34.76,4.065,0,3,3.9,1,C,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-07 00:02:06,东经,118.2662900,北纬,39.1522400,0,210,11,30.5,4.107,2462,4,1.7,0.9,B,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-06 22:03:03,东经,118.2677500,北纬,39.1520300,0,185,7,33.87,4.104,3322,6,1.3,0.9,A,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-06 14:02:12,东经,118.2576800,北纬,39.1712800,0,265,90,49.25,4.194,0,5,1.2,1,A,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-06 10:02:37,东经,118.2576400,北纬,39.1715000,0,328,41,35.12,4.071,3115,5,1.6,0.9,A,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-06 08:02:17,东经,118.2570400,北纬,39.1706400,0,265,5,28.12,3.996,89,7,1.2,0.8,A,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-06 06:01:25,东经,118.2614600,北纬,39.1598600,0,266,13,27.62,4.023,797,7,1.2,0.8,A,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-06 02:01:51,东经,118.2667500,北纬,39.1527200,0,265,17,30.37,4.083,262,5,1.2,0.9,A,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-05 22:02:10,东经,118.2576200,北纬,39.1713700,0,317,59,28.7,4.146,474,8,1,0.8,A,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-05 10:00:42,东经,118.2612700,北纬,39.1548200,0,0,107,30.45,4.152,1493,7,0.9,0.9,A,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-05 06:00:27,东经,118.2606800,北纬,39.1595600,0,0,16,31,4.119,314,6,1.2,0.8,A,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-05 04:01:51,东经,118.2604800,北纬,39.1592200,2.2,21,17,31.37,4.119,384,5,1.7,0.9,B,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-05 02:01:23,东经,118.2605800,北纬,39.1548700,0,68,30,28.25,4.14,3721,5,1.3,0.9,A,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-05 00:01:15,东经,118.2581200,北纬,39.1546400,3.1,199,24,30.01,4.149,1903,5,3.2,0.9,B,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-04 22:01:08,东经,118.2578700,北纬,39.1711600,2,322,2,28.05,4.182,37,7,1,0.8,A,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-04 20:01:22,东经,118.2584000,北纬,39.1703900,4.8,337,82,29.76,4.185,876,7,1.5,2.3,A,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-04 18:03:31,东经,118.2578000,北纬,39.1717400,0,28,82,38.23,4.176,0,6,1,0.8,A,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-04 12:01:09,东经,118.2530400,北纬,39.1569500,2,121,39,36.4,4.206,2595,4,2.6,0.9,B,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-04 10:01:21,东经,118.2535400,北纬,39.1557200,0,0,37,38.56,4.161,0,4,4.9,0.9,C,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-04 08:02:00,东经,118.2554400,北纬,39.1557100,0,267,47,32.62,4.116,399,6,1.2,0.8,A,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-04 06:00:33,东经,118.2610600,北纬,39.1599700,0,0,31,29.95,4.137,961,7,0.9,0.8,A,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-04 04:00:42,东经,118.2600800,北纬,39.1595900,0,132,0,32.12,4.143,2912,5,1.4,0.9,A,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-04 02:01:09,东经,118.2607400,北纬,39.1603300,2,293,24,33.25,4.155,2625,6,1.1,0.8,A,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-03 22:00:24,东经,118.2578200,北纬,39.1715200,0,72,16,31.13,4.2,245,5,1.4,0.9,A,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-03 20:01:22,东经,118.2579200,北纬,39.1718500,0,42,35,32.5,4.194,326,5,1.6,0.9,A,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-03 18:01:42,东经,118.2578400,北纬,39.1710700,0,132,0,39.75,4.197,754,6,1.3,0.9,A,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-03 16:01:21,东经,118.2578500,北纬,39.1725100,3,345,1,49.37,4.206,2175,5,3.4,0.8,B,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-03 14:02:14,东经,118.2545100,北纬,39.1559600,0,7,170,47.01,4.2,2920,5,1.1,0.9,A,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-03 12:01:09,东经,118.2541000,北纬,39.1559400,0,201,32,43.37,4.161,3799,5,1.5,0.8,A,可用
